123,Bobby Brown,PG,32,HOU,5,0,4.4,2,4,0.5,1,2.2,0.455,1,1.8,0.556,0.625,0,0,,0,0.4,0.4,0.2,0,0,0,0.2,5
124,Doug McDermott,SF,25,OKC,5,0,13.2,1.8,3.6,0.5,1.4,2.6,0.538,0.4,1,0.4,0.694,0,0,,0,1,1,0.2,0.2,0.2,0.2,0.4,5
125,Glenn Robinson,SF,23,IND,3,0,10.3,2,2,1,0.7,0.7,1,1.3,1.3,1,1.167,0.3,0.7,0.5,0,1,1,0.3,0,0,0,0.7,5
126,P.J. Tucker,SF,31,TOR,10,1,25.1,1.8,4.9,0.367,0.9,2.8,0.321,0.9,2.1,0.429,0.459,0.5,0.8,0.625,1.5,4.2,5.7,1.1,0.6,0.3,0.8,2.7,5
127,Alex Abrines,SG,23,OKC,5,0,16,1.6,4.6,0.348,1,3.4,0.294,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0,0,0,1.6,4.8
128,Enes Kanter,C,24,OKC,5,0,9,2,5.2,0.385,0,0,,2,5.2,0.385,0.385,0.8,0.8,1,0.6,1.2,1.8,0.2,0,0.8,0.4,1.6,4.8
129,Joffrey Lauvergne,C,25,CHI,3,0,8.7,1.3,3.7,0.364,0,0.7,0,1.3,3,0.444,0.364,2,2,1,1.7,1.3,3,1.7,0,0,0.7,0.3,4.7
130,Dante Exum,PG,21,UTA,7,0,12,1.6,3.9,0.407,0.6,1.7,0.333,1,2.1,0.467,0.481,0.9,0.9,1,0.3,0.6,0.9,1.3,0.7,0,0.4,1.4,4.6
131,Dejounte Murray,PG,20,SAS,8,2,11.8,1.8,4.5,0.389,0,0.4,0,1.8,4.1,0.424,0.389,1,1.5,0.667,0.3,1.9,2.1,1.8,0.6,0.3,0.8,1.1,4.5
132,Noah Vonleh,PF,21,POR,4,2,25,2,4.5,0.444,0,0,,2,4.5,0.444,0.444,0.5,1.3,0.4,2.3,5,7.3,2,0.3,0.8,1.5,2.8,4.5
133,Iman Shumpert,SG,26,CLE,7,0,19,1.7,3.7,0.462,0.6,1.4,0.4,1.1,2.3,0.5,0.538,0.4,0.4,1,0.3,2.6,2.9,0.9,0.4,0.3,0.3,2.4,4.4
134,Michael Beasley,PF,28,MIL,4,0,12,1.8,5,0.35,0.8,1.3,0.6,1,3.8,0.267,0.425,0,1,0,0.5,1.8,2.3,0.3,0.3,0.3,0.5,2,4.3
135,Jose Calderon,PG,35,ATL,6,0,12.5,1.8,3.8,0.478,0.7,2,0.333,1.2,1.8,0.636,0.565,0,0,,0.3,1,1.3,2.2,0.3,0.2,0.7,1.5,4.3
